ID,MARCA,NOMBRE,CATEGORIA WEB,COMPATIBILIDAD,DESCRIPCIÓN
ACNH.QPEAL.008,ACER,Acer Laptop Gamer Nitro V  Nvidia GeForce RTX 4050 15.6'' FHD Panel IPS AMD Ryzen 7 16GB RAM 512GB SSD 144Hz,OTROS,,
AC933841,ACTECK,"Monitor Acteck Captive Vivid SP240 LED 23.8"", 1920x1080 Full HD, 75Hz, HDMI, Bocinas Integradas, Negro",OTROS,,
ACES-05004E,ACTECK,"Fuente de Poder Acteck Blazar Evo FT700E, 24-pin ATX, 120mm, 700W, Negro",OTROS,,
AD4U32008G22-SGN,ADATA,MEMORIA DDR4 ADATA 8GB UDIMM,OTROS,,
ADALEG-700-512GCS,ADATA,"SSD Adata Legend 700 NVMe, 512GB, PCI Express 3.0, M.2",OTROS,,
ADTAC008-16G-RKD,ADATA,USB ADATA NEGRO/ROJO C008 RETRACTIL 16GB,OTROS,,
ADTAC008-16G-RWE,ADATA,USB ADATA BLANCOAZUL C008 RETRACTIL 16GB,OTROS,,
ADTAC008-32G-RKD,ADATA,USB ADATA NEGRO/ROJO C008 RETRACTIL 32GB,OTROS,,
ADTAC008-32G-RWE,ADATA,USB ADATA BLANCOAZUL C008 RETRACTIL 32GB,OTROS,,
ADTAD4S320016G22-SGN,ADATA,MEMORIA DDR4 ADATA 16GB 3200Mhz SODIMM,OTROS,,
ADTAHD330-4TU31-CBK,ADATA,DISCO DURO EXTERNO ADATA HD330 4TB 3.1 NEGRO,OTROS,,
ADTAHD710P-4TU31-CBK,ADATA,Disco duro Adata HD710 Pro Externo 4 TB USB 3.2 Goma Color Negro,OTROS,,
ADTAHV620S-1TU31-CBK,ADATA,DISCO DURO EXTERNO ADATA NEGRO HV620 1TB,OTROS,,
ADTAHV620S-2TU31-CBK,ADATA,DISCO DURO EXTERNO ADATA NEGRO HV620 2TB,OTROS,,
ADTAMFIPL-1M-CWH,ADATA,Cable Adata Lightning USB-A 2.0 1m Color Blanco,OTROS,,
ADTAP20000QCD-DGT-CBK,ADATA,CARGADOR PORTATIL DIG ADATA P20000QCD TIPO C NEGRO,OTROS,,
ADTAROY-UR340-32GBK,ADATA,USB UR340 GEN 1 NÍQUEL NEGRO 32GB,OTROS,,
ADTASU630SS-240GQ-R,ADATA,UNIDAD SSD ADATA SU630 240GB 2.5 SATA,OTROS,,
ADTASU630SS-480GQ-R,ADATA,UNIDAD SSD ADATA SU630 480GB 2.5 SATA,OTROS,,
ADTASU650SS-120GT-R,ADATA,UNIDAD SSD ADATA SU650 120GB 2.5 SATA,OTROS,,
ADTASU800SS-1TT-C,ADATA,DISCO ESTADO SOLIDO SSD ADATA S U800 ULTIMATE 1TB SATA III 2.5,OTROS,,
ADTASU800SS-512GT-C,ADATA,"Unidad De Estado Solido SSD Adata Ultimate Su800, 512GB, SATA III, 2.5, 7mm",OTROS,,
ADTAUSDH32GUICL10A1-RA1,ADATA,"Memoria Flash Adata, 32GB Microsdhc Uhs-I Clase 10, Con Adaptador",OTROS,,
ADTAUSDX128GUICL10A1-RA1,ADATA,"Memoria Flash ADATAAUSDX128GUICL10A1-RA1, 128GB MicroSDXC UHS-I Clase 10, con Adaptador",OTROS,,
