Nombre,Codigo Actual,Codigo Correcto,Faltantes eliminar de catalogo,Cargar imagen con este codigo,Nombre correcto
"TONER BROTHER DE ALTO RENDIMIENTO, MAGENTA 2300 PAGINAS, TN229XLM",,BRTN229XLM,,BRTN229XLM,
TONER BROTHER ORIGINAL TN760 NEGRO,,BRTN760,,BRTN760,
TONER BROTHER ORIGINAL TN436 CYAN,,BRTN436C,,BRTN436C,
TAMBOR BROTHER ORIGINAL DR1060 NEGRO,,BRDR1060,,BRDR1060,
TONER BROTHER ORIGINAL TN223 MAGENTA,,BRTN223M,,BRTN223M,
TONER BROTHER ORIGINAL TN730 NEGRO,,BRTN730,,BRTN730,
TONER BROTHER ORIGINAL TN213 MAGENTA,,BRTN213M,No existe,,
TONER BROTHER ORIGINAL TN213 AMARILLO,,BRTN213Y,No existe,,
TONER BROTHER ORIGINAL TN213 CYAN,,BRTN213C,No existe,,
TONER BROTHER ORIGINAL TN221 AMARILLO,,BRTN221Y,,BRTN221Y,
TAMBOR BROTHER ORIGINAL DR620 NEGRO,,BRDR620,,BRDR620,
"TONER BROTHER TN920XL NEGRO, RENDIMIENTO 6,000 PAGINAS",,BRTN920XL,,BRTN920XL,
TONER BROTHER ORIGINAL TN439 AMARILLO,,BRTN439Y,,BRTN439Y,
TONER BROTHER ORIGINAL TN439 CYAN,,BRTN439C,,BRTN439C,
TONER BROTHER ORIGINAL TN439 MAGENTA,,BRTN439M,,BRTN439M,
TONER BROTHER ORIGINAL TN336 MAGENTA,,BRTN336M,,BRTN336M,
TONER BROTHER ORIGINAL TN339 CYAN,,BRTN339C,,BRTN339C,
TAMBOR BROTHER ORIGINAL DR331CL NEGRO,,BRDR331CL,,BRDR331CL,
TAMBOR BROTHER ORIGINAL DR350 NEGRO,,BRDR350,,BRDR350,
TAMBOR BROTHER ORIGINAL DR360 NEGRO,,BRDR360,,BRDR360,
TAMBOR LASER BROTHER DR223CL,,BRDR223CL,,BRDR223CL,
TONER BROTHER ORIGINAL TN221 CYAN,,BRTN221C,,BRTN221C,
TONER BROTHER ORIGINAL TN221 MAGENTA,,BRTN221M,,BRTN221M,
TONER BROTHER ORIGINAL TN221 NEGRO,,BRTN221BK,,BRTN221BK,
TONER BROTHER ORIGINAL TN330 NEGRO,,BRTN330,,BRTN330,
TONER BROTHER ORIGINAL TN336 AMARILLO,,BRTN336Y,,BRTN336Y,
TONER BROTHER ORIGINAL TN336 CYAN,,BRTN336C,,BRTN336C,
TONER BROTHER ORIGINAL TN336 NEGRO,,BRTN336BK,,BRTN336BK,
TONER BROTHER ORIGINAL TN339 AMARILLO,,BRTN339Y,,BRTN339Y,
TONER BROTHER ORIGINAL TN339 MAGENTA,,BRTN339M,,BRTN339M,
TONER BROTHER ORIGINAL TN339 NEGRO,,BRTN339BK,,BRTN339BK,
TONER BROTHER ORIGINAL TN420 NEGRO,,BRTN420,,BRTN420,
TONER BROTHER ORIGINAL TN580 NEGRO,,BRTN580,,BRTN580,
TONER BROTHER ORIGINAL TN620 NEGRO,,BRTN620,,BRTN620,
TONER BROTHER ORIGINAL TN650 NEGRO,,BRTN650,,BRTN650,
TONER BROTHER ORIGINAL TN720 NEGRO,,BRTN720,,BRTN720,
"TONER BROTHER VALOR TN925 NEGRO, RENDIMIENTO 25,000 PAGINAS",,BRTN925,,BRTN925,
"TAMBOR BROTHER DR229CL NEGRO, 20.000 PAGINAS - 4 PIEZAS",,BRDR229CL,,BRDR229CL,
TAMBOR BROTHER DR311CL NEGRO,,BRDR311CL,,BRDR311CL,
TONER BROTHER ORIGINAL TN431 NEGRO,,BRTN431BK,,BRTN431BK,
TONER BROTHER ORIGINAL TN431 CYAN,,BRTN431C,,BRTN431C,
TONER BROTHER ORIGINAL TN431 MAGENTA,,BRTN431M,,BRTN431M,
TONER BROTHER ORIGINAL TN431 AMARILLO,,BRTN431Y,,BRTN431Y,
TAMBOR BROTHER DR421CL NEGRO,,BRDR421CL,,BRDR421CL,
"TONER BROTHER TN920 NEGRO, RENDIMIENTO 3,000 PAGINAS",,BRTN920,No existe,,
"TONER BROTHER TN920XXL NEGRO, RENDIMIENTO 11,000 PAGINAS",,BRTN920XXL,,BRTN920XXL,
TAMBOR BROTHER DR221CL NEGRO,,BRDR221CL,No existe,,
TAMBOR BROTHER DR520 NEGRO,,BRDR520,No existe,,
TAMBOR BROTHER DR250 NEGRO,,BRDR250,No existe,,
TAMBOR BROTHER DR450 NEGRO,,BRDR450,No existe,,
TAMBOR BROTHER DR330 NEGRO,,BRDR330,No existe,,
TAMBOR BROTHER DR720 NEGRO,,BRDR720,,BRDR720,TAMBOR BROTHER ORIGINAL DR720 NEGRO
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
